Date,Ticker,Close,Volume
2024-09-04,INTR,7.1321,1628800
2024-09-04,IRS,10.2399,375392
2024-09-04,ITUB,5.5769,18132290
2024-09-04,KOF,84.658,241900
2024-09-04,LVRO,4.81,6786
2024-09-04,MELI,1991.59,168118
2024-09-04,NEXA,5.98,7209
2024-09-04,NU,14.24,48742141
2024-09-04,OMAB,60.198,114883
2024-09-04,PAAS,18.7309,2899900
2024-09-04,PAC,169.2926,55400
2024-09-04,PAGS,10.4323,6758800
2024-09-04,PAM,56.68,261984
2024-09-04,PAX,10.7005,1077100
2024-09-04,PBR,13.2477,18748400
2024-09-04,PSMT,87.4215,77280
2024-09-04,SCCO,92.1385,1333741
2024-09-04,SGML,9.75,1119223
2024-09-04,SID,1.9558,1542738
2024-09-04,SQM,36.45,798300
2024-09-04,STN,79.3605,110253
2024-09-04,SUPV,7.6992,1768200
2024-09-04,TBBB,29.57,1244600
2024-09-04,TGLS,59.6702,208200
2024-09-04,TGS,20.5,204084
2024-09-04,TS,27.6439,3192600
2024-09-04,TV,1.6892,1275600
2024-09-04,TX,29.5565,218200
2024-09-04,UGP,3.9585,626029
2024-09-04,VALE,9.6402,30034301
2024-09-04,VINP,9.8765,70800
2024-09-04,VIST,49.53,1232222
2024-09-04,VLRS,5.6,1061046
2024-09-04,VSTA,2.37,939548
2024-09-04,VTEX,6.77,512800
2024-09-04,XP,17.3857,7295000
2024-09-04,YPF,24.04,3052700
2024-09-04,ZENV,1.64,30900
2024-09-05,ABEV,2.159,12439700
2024-09-05,AFYA,16.6731,144700
2024-09-05,AGRO,10.9844,878086
2024-09-05,AMX,15.8578,2591879
2024-09-05,ARCO,8.4865,912100
2024-09-05,ASR,246.6802,37500
2024-09-05,AUNA,6.8,61900
2024-09-05,AVAL,1.9772,16900
2024-09-05,BAK,6.51,461874
2024-09-05,BAP,160.5416,205100
2024-09-05,BBAR,11.3,748798
2024-09-05,BBD,2.6203,27171010
2024-09-05,BCH,23.1113,130610
2024-09-05,BLX,29.485,80700
2024-09-05,BMA,63.4,325055
2024-09-05,BRFS,4.4146,1909552
2024-09-05,BSAC,19.1976,151400
2024-09-05,BSBR,5.422,219000
2024-09-05,BVN,12.0199,896000
2024-09-05,CAAP,14.75,165200
2024-09-05,CBDBY,0.54,37500
2024-09-05,CCU,10.3309,205400
2024-09-05,CEG,175.2264,2444900
2024-09-05,CEPU,9.1983,630500
2024-09-05,CIB,25.5317,284000
2024-09-05,CINT,6.79,76335
2024-09-05,CPA,85.1711,192700
2024-09-05,CPAC,5.111,7971
2024-09-05,CX,5.7597,19319600
2024-09-05,DESP,12.1,794484
2024-09-05,DLO,8.1738,1345500
2024-09-05,EC,8.3059,1645000
2024-09-05,EDN,20.9,185721
2024-09-05,ERJ,35.7844,2354800
2024-09-05,EVEX,2.78,87533
2024-09-05,FMX,98.2622,880300
2024-09-05,GGAL,41.7906,1299512
2024-09-05,GGB,3.1889,4563600
2024-09-05,GLOB,199.41,394651
2024-09-05,GPRK,7.546,372600
2024-09-05,IFS,24.2529,236909
2024-09-05,INTR,7.339,1119100
2024-09-05,IRS,10.6824,459184
2024-09-05,ITUB,5.6694,15906880
2024-09-05,KOF,84.1325,203500
2024-09-05,LVRO,4.73,3152
2024-09-05,MELI,2038.18,218827
2024-09-05,NEXA,5.97,16253
2024-09-05,NU,14.34,37439578
2024-09-05,OMAB,60.3584,172915
2024-09-05,PAAS,19.0368,2311100
2024-09-05,PAC,167.4723,98900
2024-09-05,PAGS,9.5466,12687700
2024-09-05,PAM,56.67,264337
2024-09-05,PAX,10.6812,1321200
2024-09-05,PBR,13.2477,18718200
2024-09-05,PSMT,88.4146,111517
2024-09-05,SCCO,92.435,800183
2024-09-05,SGML,9.67,591576
2024-09-05,SID,1.9844,1385232
2024-09-05,SQM,35.82,966000
2024-09-05,STN,78.8343,108084
2024-09-05,SUPV,7.6103,1474500
2024-09-05,TBBB,29.36,688000
2024-09-05,TGLS,59.6305,476400
2024-09-05,TGS,20.69,268011
2024-09-05,TS,27.4151,1821500
2024-09-05,TV,1.6892,1948000
2024-09-05,TX,29.7575,132900
2024-09-05,UGP,4.0655,1499099
2024-09-05,VALE,9.7641,26346490
2024-09-05,VINP,9.7524,186100
2024-09-05,VIST,48.52,682394
2024-09-05,VLRS,5.91,1651238
2024-09-05,VSTA,2.5,394998
2024-09-05,VTEX,6.74,632900
2024-09-05,XP,17.7188,5113300
2024-09-05,YPF,23.92,2317100
2024-09-05,ZENV,1.65,18800
2024-09-06,ABEV,2.1683,31629600
2024-09-06,AFYA,15.9426,127900
2024-09-06,AGRO,11.0327,1295667
2024-09-06,AMX,15.6737,2075069
2024-09-06,ARCO,8.2925,854700
2024-09-06,ASR,239.7777,58900
2024-09-06,AUNA,6.78,106800
2024-09-06,AVAL,1.9772,43400
2024-09-06,BAK,6.8,1858988
2024-09-06,BAP,159.395,372100
2024-09-06,BBAR,11.0,800649
2024-09-06,BBD,2.5745,20233400
2024-09-06,BCH,22.5659,232780
2024-09-06,BLX,29.59,125800
2024-09-06,BMA,62.07,257047
2024-09-06,BRFS,4.4146,2323203
2024-09-06,BSAC,18.7625,128100
2024-09-06,BSBR,5.3264,160600
2024-09-06,BVN,11.7552,928200
2024-09-06,CAAP,14.8,187200
2024-09-06,CBDBY,0.5,300
2024-09-06,CCU,10.0801,141200
2024-09-06,CEG,172.2806,3390300
2024-09-06,CEPU,9.0614,226800
2024-09-06,CIB,24.9881,208400
2024-09-06,CINT,6.88,134250
2024-09-06,CPA,84.3147,232400
2024-09-06,CPAC,5.1908,9822
2024-09-06,CX,5.6019,10958600
2024-09-06,DESP,11.31,1141613
2024-09-06,DLO,8.05,1225700
2024-09-06,EC,8.2789,2641700
2024-09-06,EDN,21.32,64021
2024-09-06,ERJ,33.7564,3544600
2024-09-06,EVEX,2.67,86207
2024-09-06,FMX,98.1659,1155600
2024-09-06,GGAL,40.8849,949864
2024-09-06,GGB,3.1695,5044300
2024-09-06,GLOB,194.97,301386
2024-09-06,GPRK,7.4139,330800
2024-09-06,IFS,23.6812,35233
2024-09-06,INTR,7.0829,1635700
2024-09-06,IRS,10.5921,389728
2024-09-06,ITUB,5.5601,17075850
2024-09-06,KOF,83.5195,219800
2024-09-06,LVRO,4.64,2000
2024-09-06,MELI,1986.05,304456
2024-09-06,NEXA,5.87,13013
2024-09-06,NU,13.7,48549859
2024-09-06,OMAB,59.9433,117459
2024-09-06,PAAS,18.3756,3340700
2024-09-06,PAC,161.154,56200
2024-09-06,PAGS,9.2513,7670100
2024-09-06,PAM,56.18,100175
2024-09-06,PAX,10.5946,951000
2024-09-06,PBR,13.0183,25934700
2024-09-06,PSMT,85.5247,117526
2024-09-06,SCCO,89.9869,790473
2024-09-06,SGML,9.24,1111128
2024-09-06,SID,2.0035,1540691
2024-09-06,SQM,34.31,1287300
2024-09-06,STN,77.335,102412
2024-09-06,SUPV,7.3734,924600
2024-09-06,TBBB,28.66,916400
2024-09-06,TGLS,58.6082,238400
2024-09-06,TGS,20.18,116844
2024-09-06,TS,27.2245,1727000
2024-09-06,TV,1.7465,2636900
2024-09-06,TX,29.3465,106200
2024-09-06,UGP,3.9974,1009827
2024-09-06,VALE,9.6592,29338189
2024-09-06,VINP,9.4948,69800
2024-09-06,VIST,48.02,909329
2024-09-06,VLRS,5.96,1603163
2024-09-06,VSTA,2.5,136895
2024-09-06,VTEX,6.72,550500
2024-09-06,XP,17.3001,6787200
2024-09-06,YPF,23.35,1344700
2024-09-06,ZENV,1.61,42100
2024-09-09,ABEV,2.2055,64254900
2024-09-09,AFYA,15.8834,110200
2024-09-09,AGRO,10.8298,1124552
2024-09-09,AMX,15.8191,1879497
2024-09-09,ARCO,8.1568,951400
2024-09-09,ASR,243.2243,51300
2024-09-09,AUNA,6.69,82600
2024-09-09,AVAL,1.9103,50800
2024-09-09,BAK,6.53,686777
2024-09-09,BAP,161.7534,142600
2024-09-09,BBAR,11.06,861291
2024-09-09,BBD,2.602,17692311
2024-09-09,BCH,22.5566,94716
2024-09-09,BLX,29.6568,81600
2024-09-09,BMA,63.84,247635
2024-09-09,BRFS,4.3076,2600158
2024-09-09,BSAC,18.7909,204600
2024-09-09,BSBR,5.3838,98500
2024-09-09,BVN,11.7454,539100
2024-09-09,CAAP,14.78,157300
2024-09-09,CBDBY,0.5,100
2024-09-09,CCU,9.974,152900
2024-09-09,CEG,174.0819,2184400
2024-09-09,CEPU,9.4329,310600
2024-09-09,CIB,24.398,358300
2024-09-09,CINT,6.8,79032
2024-09-09,CPA,81.1937,292200
2024-09-09,CPAC,5.2,1093
2024-09-09,CX,5.592,8003400
2024-09-09,DESP,11.88,859078
2024-09-09,DLO,7.9071,1615300
2024-09-09,EC,8.1438,1622000
2024-09-09,EDN,22.3,99760
2024-09-09,ERJ,34.3358,1460500
2024-09-09,EVEX,2.86,227783
2024-09-09,FMX,98.3873,364400
2024-09-09,GGAL,42.0892,1013176
2024-09-09,GGB,3.2181,3582900
2024-09-09,GLOB,197.04,264443
2024-09-09,GPRK,7.2159,424200
2024-09-09,IFS,23.565,30917
2024-09-09,INTR,7.0829,1296200
2024-09-09,IRS,10.9713,236654
2024-09-09,ITUB,5.6358,15525290
2024-09-09,KOF,82.9551,169100
2024-09-09,LVRO,4.56,6581
2024-09-09,MELI,2029.91,229914
2024-09-09,NEXA,6.02,16582
2024-09-09,NU,13.81,31057391
2024-09-09,OMAB,62.4153,127505
2024-09-09,PAAS,18.5631,1688200
2024-09-09,PAC,163.0322,103200
2024-09-09,PAGS,9.0249,4466900
2024-09-09,PAM,57.76,250873
2024-09-09,PAX,10.5271,925700
2024-09-09,PBR,13.2301,18471900
2024-09-09,PSMT,84.8097,148216
2024-09-09,SCCO,91.1822,967294
2024-09-09,SGML,9.4,693047
2024-09-09,SID,1.994,748027
2024-09-09,SQM,34.59,606400
2024-09-09,STN,77.4641,84012
2024-09-09,SUPV,7.6498,1245100
2024-09-09,TBBB,28.98,1275900
2024-09-09,TGLS,59.3129,193400
2024-09-09,TGS,20.68,86632
2024-09-09,TS,27.3007,1122300
2024-09-09,TV,1.7751,597100
2024-09-09,TX,28.9902,137200
2024-09-09,UGP,4.1725,730776
2024-09-09,VALE,9.6688,11507770
2024-09-09,VINP,9.5902,43800
2024-09-09,VIST,47.8,508185
2024-09-09,VLRS,6.15,1152249
2024-09-09,VSTA,2.5,213801
2024-09-09,VTEX,6.7,396600
2024-09-09,XP,17.3191,3325000
2024-09-09,YPF,23.27,1267500
2024-09-09,ZENV,1.53,47400
2024-09-10,ABEV,2.2055,49069700
2024-09-10,AFYA,15.5379,132400
2024-09-10,AGRO,10.8298,982627
2024-09-10,AMX,15.1793,2042829
2024-09-10,ARCO,7.9531,1074400
2024-09-10,ASR,243.3729,34100
2024-09-10,AUNA,6.78,156500
2024-09-10,AVAL,1.9008,59900
2024-09-10,BAK,6.22,877273
2024-09-10,BAP,160.3272,259500
2024-09-10,BBAR,10.73,805040
2024-09-10,BBD,2.5562,26778320
2024-09-10,BCH,22.4642,148817
2024-09-10,BLX,29.3704,55100
2024-09-10,BMA,61.51,273158
2024-09-10,BRFS,4.259,2496086
2024-09-10,BSAC,18.4883,203700
2024-09-10,BSBR,5.2881,161500
2024-09-10,BVN,11.6179,581200
2024-09-10,CAAP,14.81,152000
2024-09-10,CBDBY,0.5,300
2024-09-10,CCU,9.7522,300200
2024-09-10,CEG,179.3864,2301800
2024-09-10,CEPU,9.2472,298100
2024-09-10,CIB,24.1961,384500
2024-09-10,CINT,6.8,80241
2024-09-10,CPA,80.9177,424700
